date,weekday,champion,lane,role,kills,deaths,assists,kda,gold,damage,cs,vision,game_duration,cs_per_min,gold_per_min,damage_per_min,win
2025-05-02 00:39:18.413,Friday,Yorick,JUNGLE,NONE,6,1,14,20.0,12948,23716,36,19,1577,1.3696892834495877,492.6315789473684,902.3208623969562,1
2025-05-01 23:52:28.071,Thursday,Yorick,NONE,SUPPORT,3,1,3,6.0,7343,13314,135,13,1186,6.829679595278247,371.4839797639123,673.558178752108,1
2025-05-01 21:14:18.370,Thursday,Trundle,TOP,DUO,6,13,14,1.5384615384615385,17620,41463,211,31,2823,4.484590860786398,374.4952178533475,881.2539851222105,0
2025-05-01 17:12:03.441,Thursday,Ashe,JUNGLE,NONE,5,0,11,16.0,11651,14042,167,26,1705,5.87683284457478,410.0058651026393,494.1466275659824,1
2025-05-01 07:40:09.660,Thursday,Smolder,BOTTOM,CARRY,3,9,4,0.7777777777777778,11071,24643,198,33,2086,5.695110258868648,318.4372003835091,708.811121764142,0
2025-04-26 07:20:02.072,Saturday,Mel,NONE,SUPPORT,6,4,5,2.75,7223,8739,51,30,1135,2.6960352422907485,381.8325991189427,461.9735682819383,1
2025-04-26 06:39:08.776,Saturday,Quinn,BOTTOM,CARRY,5,9,8,1.4444444444444444,11608,20921,151,26,2045,4.430317848410757,340.5770171149144,613.8190709046454,0
2025-04-26 05:25:39.148,Saturday,Nami,BOTTOM,SUPPORT,4,5,6,2.0,8441,8907,27,47,1838,0.8813928182807399,275.54951033732317,290.76169749727967,1
2025-04-26 03:30:47.723,Saturday,Yorick,JUNGLE,NONE,10,2,5,7.5,13754,30486,65,26,1746,2.2336769759450172,472.6460481099656,1047.6288659793813,1
2025-04-26 03:20:56.466,Saturday,Quinn,NONE,SUPPORT,0,0,0,0.0,762,0,8,0,159,3.018867924528302,287.54716981132077,0.0,1
